,EOD time_candle,EOD bal,daily chg
0,1588118400,9996.0,0.0
1,1588125600,10009.107520003301,0.0013112765109344771
2,1588278060,10047.009623745813,0.0037867615735732774
3,1588365000,10127.90050756996,0.008051239807013274
4,1588399380,10139.68958436098,0.0011640198066921977
5,1588541940,10305.329174340051,0.01633576537042581
6,1588635180,10475.787432959216,0.016540787366947998
7,1588716540,10468.373365828724,-0.0007077336360573564
8,1588901940,10464.186016482392,-0.00040000000000002555
9,1588920120,10275.1758132178,-0.018062580593165803
10,1588931280,10270.121712681394,-0.0004918748475237882
11,1589120640,10266.01366399632,-0.0004000000000000723
12,1589153220,10084.178618924814,-0.017712332266731266
13,1589171400,10117.99918065487,0.0033538241445450986
14,1589270940,10130.19860537129,0.0012057151318755758
15,1589450940,10126.146525929142,-0.0003999999999999658
16,1589488200,10266.087505651207,0.013819766419904197
17,1589569740,10324.397284778393,0.005679844351130716
18,1589693940,10320.267525864481,-0.0004000000000000773
19,1589709780,10333.290433760396,0.001261876968138357
20,1589834160,10383.182330435058,0.004828268110190545
21,1589923980,10379.029057502885,-0.0003999999999999421
22,1590001740,10404.468540943417,0.0024510465573985593
23,1590145920,10400.30675352704,-0.00039999999999993426
24,1590160680,10418.876846553794,0.0017855332027063835
25,1590273900,10459.365391635358,0.0038860757908810353
26,1590361560,10509.255142541997,0.004769864044193099
27,1590447780,10585.49976110772,0.0072549973838850505
28,1590520320,10690.686060216816,0.009936828820833053
29,1590609600,10715.57285542877,0.0023278950547959243
30,1590740280,10711.2866262866,-0.0004000000000000065
31,1590782400,10836.366186721923,0.011677360974391834
32,1590876000,10832.031640247234,-0.0004000000000000192
33,1590969420,10568.334920009087,-0.024344160818212744
34,1590985260,10553.983395346699,-0.001357974058450448
35,1591137000,10595.73831757813,0.003956318734577682
36,1591206300,10774.881549576128,0.016907102330075707
37,1591252740,10763.527540708645,-0.001053747905741964
38,1591389000,10787.389337489836,0.0022169123171696284
39,1591482060,10748.579802290491,-0.0035976763223395393
40,1591568100,10577.719387085217,-0.01589609216734513
41,1591607880,10593.018186596066,0.001446323063696293
42,1591732440,10627.54025193573,0.00325894515911879
43,1591845840,10623.289235834956,-0.00039999999999997205
44,1591864020,10514.113402957959,-0.010277027242063657
45,1591968960,10567.014653256596,0.005031451371235372
46,1592077860,10584.126005152975,0.0016193175137791528
47,1592137440,10576.029687312053,-0.0007649491169115163
48,1592258220,10571.799275437128,-0.0004000000000000421
49,1592328960,10593.465414329892,0.002049427758537184
50,1592491680,10589.22802816416,-0.00040000000000004745
51,1592506080,10617.688062215188,0.0026876401164780575
52,1592607060,10631.030141045014,0.0012565898293156953
53,1592670060,10571.267351211594,-0.0056215426953483225
54,1592833140,10567.03884427111,-0.0003999999999999675
55,1592841240,10598.215142739125,0.002950334424569426
56,1592930160,10580.514801488443,-0.0016701247344283745
57,1593007020,10638.944334912185,0.005522371502710016
